Date,NVDA.US_Close,TSLA.US_Close,AAPL.US_Close,GOOG.US_Close,NVDA.US_High,TSLA.US_High,AAPL.US_High,GOOG.US_High,NVDA.US_Low,TSLA.US_Low,AAPL.US_Low,GOOG.US_Low,NVDA.US_Open,TSLA.US_Open,AAPL.US_Open,GOOG.US_Open,NVDA.US_Volume,TSLA.US_Volume,AAPL.US_Volume,GOOG.US_Volume
2023-12-12,476.548,237.01,194.71,133.64,476.638,238.99,194.72,134.54,460.438,233.87,191.721,132.83,460.438,238.55,193.08,133.27,37240433.618982,95328313.0,52696900.0,26583981.0
2023-12-11,466.248,239.74,193.18,134.7,475.288,243.441,193.49,134.79,458.278,237.45,191.42,132.89,474.888,242.74,193.11,133.82,50975201.164121,97913888.0,60943699.0,24502860.0
2023-12-08,475.038,243.84,195.71,136.64,477.386,245.27,195.99,137.99,465.478,239.2701,193.67,135.57,465.928,240.27,194.2,135.66,35924055.844009,103126829.0,53406358.0,23016139.0
2023-12-07,465.938,242.64,194.27,138.45,466.268,244.08,195.0,140.0,456.019,236.98,193.59,136.23,456.979,241.55,193.63,136.6,35083901.417244,107142262.0,47477655.0,38419426.0
2023-12-06,455.009,239.37,192.32,131.43,473.848,246.57,194.76,133.31,454.099,239.1709,192.11,131.31,472.123,242.92,194.45,132.9,38060741.11437,126436179.0,41089737.0,16360648.0
2023-12-05,465.638,238.72,193.42,132.39,465.978,246.66,194.4,133.54,452.689,233.7,190.18,129.73,454.639,233.87,190.21,130.37,37173506.478225,137971115.0,66628398.0,19235145.0
2023-12-04,455.039,235.58,189.43,130.63,460.708,239.3733,190.05,131.45,450.039,233.2902,187.4511,129.4,460.708,235.75,189.98,131.294,43760243.609324,104099817.0,43389519.0,24117083.0
2023-12-01,467.587,238.83,191.24,133.32,471.937,240.19,191.56,133.5,461.807,231.9,189.23,132.1517,465.187,233.14,190.33,133.32,36936680.679448,121331709.0,45704823.0,24267987.0
2023-11-30,467.637,240.08,189.95,133.92,481.035,245.22,190.32,136.96,464.157,236.91,188.19,132.79,480.175,245.14,189.84,136.4,52631758.637236,132353196.0,48794366.0,29913531.0
2023-11-29,481.335,244.14,189.37,136.4,487.554,252.75,192.09,139.67,478.536,242.76,188.97,136.295,483.724,249.21,190.9,138.985,38205615.75302,135401335.0,43014224.0,21014715.0
2023-11-28,478.146,246.72,190.4,138.62,483.164,247.0,191.08,138.66,474.666,234.01,189.4,137.04,482.295,236.68,189.78,137.63,40154498.494857,148549913.0,38415419.0,17046868.0
2023-11-27,482.355,236.08,189.79,138.05,485.234,238.33,190.67,139.63,476.456,232.1,188.9,137.54,477.936,236.89,189.92,137.57,39571524.900312,112031763.0,40552609.0,17886389.0
2023-11-24,477.696,235.45,189.97,138.22,489.144,238.75,190.9,139.677,477.386,232.33,189.25,137.47,484.634,233.75,190.87,139.54,29468436.835853,65125203.0,24048344.0,8828640.0
2023-11-22,487.094,234.21,191.31,140.02,503.281,244.01,192.93,141.1,476.836,231.4,190.825,139.0,498.453,242.04,191.49,139.1,90076376.795112,118117078.0,39630011.0,17310209.0
2023-11-21,499.373,241.2,190.64,138.62,505.102,243.62,191.52,138.965,492.154,233.34,189.74,137.705,501.192,235.04,191.41,137.94,56582315.238032,122288000.0,38134485.0,17648067.0
2023-11-20,504.022,235.6,191.45,137.92,505.412,237.1,191.905,138.425,491.744,231.02,189.88,135.49,493.054,234.04,189.89,135.5,41619871.051472,116562402.0,46538614.0,19589006.0
2023-11-17,492.914,234.3,189.69,136.94,497.103,237.39,190.38,138.0,490.004,226.54,188.57,135.48,495.173,232.0,190.25,137.82,32594085.225289,142766234.0,50941404.0,25590191.0
2023-11-16,494.734,233.59,189.71,138.7,495.18,240.88,190.96,138.8799,483.235,230.96,188.65,136.08,486.724,239.49,189.57,136.96,33980205.097323,136816819.0,54412915.0,17615068.0
2023-11-15,488.814,242.84,188.01,136.38,499.533,246.7,189.5,136.84,481.935,236.45,187.78,135.33,499.283,239.29,187.845,136.64,47556146.360206,150353975.0,53790499.0,15840883.0
2023-11-14,496.493,237.41,187.44,135.43,498.273,238.135,188.11,137.24,490.334,230.72,186.3,135.1,496.733,235.03,187.7,135.65,41701008.990217,149771642.0,60108378.0,22317345.0
2023-11-13,486.134,223.71,184.8,133.64,491.094,225.4,186.03,134.11,480.925,211.6101,184.21,132.77,483.135,215.6,185.82,133.36,38418749.486996,140447569.0,43627519.0,16409856.0
2023-11-10,483.285,214.65,186.4,134.06,484.654,215.38,186.565,134.27,472.767,205.69,183.53,130.87,474.936,210.03,183.97,131.53,42249851.983389,131310128.0,66177922.0,20879838.0
2023-11-09,469.437,209.98,182.41,131.69,482.235,220.8,184.12,133.96,467.437,206.68,181.81,131.51,474.606,219.75,182.96,133.36,54056884.767963,142110454.0,53763540.0,17976533.0
2023-11-08,465.677,222.11,182.89,133.26,468.607,224.15,183.45,133.54,459.618,217.64,181.59,132.16,460.937,223.15,182.35,132.36,34676568.978766,106584841.0,49340282.0,15093598.0
2023-11-07,459.488,222.18,181.82,132.4,462.117,223.12,182.44,133.28,451.514,215.72,178.97,131.14,457.129,219.98,179.18,131.98,34321174.065616,116900130.0,70529966.0,19223786.0
